"","Country","Hotels","Date"
"137","Botswana & other accommodations","257",2017-07-20
"138","Serbia & other accommodations","4224",2017-07-20
"139","San Marino & other accommodations","35",2017-07-20
"140","Niue & other accommodations","7",2017-07-20
"141","Moldova & other accommodations","446",2017-07-20
"142","Micronesia & other accommodations","5",2017-07-20
"143","Laos & other accommodations","1022",2017-07-20
"144","Northern Mariana Islands (N Mariana Is) hotels & other accommodations","56",2017-07-20
"145","Myanmar & other accommodations","1295",2017-07-20
"146","Mozambique & other accommodations","262",2017-07-20
"147","Mongolia & other accommodations","199",2017-07-20
"148","Mauritania & other accommodations","51",2017-07-20
"149","Cameroon & other accommodations","280",2017-07-20
"150","Uruguay & other accommodations","2114",2017-07-20
"151","Tajikistan & other accommodations","92",2017-07-20
"152","Guinea & other accommodations","24",2017-07-20
"153","Bhutan & other accommodations","56",2017-07-20
"154","Algeria & other accommodations","106",2017-07-20
"155","Crimea & other accommodations","5887",2017-07-20
"156","Zambia & other accommodations","425",2017-07-20
"157","Swaziland & other accommodations","40",2017-07-20
"158","Georgia & other accommodations","9668",2017-07-20
"159","Gabon & other accommodations","54",2017-07-20
"160","Burundi & other accommodations","33",2017-07-20
"161","Belarus & other accommodations","2874",2017-07-20
"162","Togo & other accommodations","124",2017-07-20
"163","Slovakia & other accommodations","4283",2017-07-20
"164","Pakistan & other accommodations","310",2017-07-20
"165","Nepal & other accommodations","909",2017-07-20
"166","Kyrgyzstan & other accommodations","617",2017-07-20
"167","Kazakhstan & other accommodations","2305",2017-07-20
"168","Grenada & other accommodations","65",2017-07-20
"169","Chad & other accommodations","13",2017-07-20
"170","Burkina Faso & other accommodations","58",2017-07-20
"171","Bosnia and Herzegovina (Bosnia Herz) hotels & other accommodations","3471",2017-07-20
"172","Bolivia & other accommodations","634",2017-07-20
"173","Bangladesh & other accommodations","243",2017-07-20
"174","Kosovo & other accommodations","158",2017-07-20
"175","Uzbekistan & other accommodations","254",2017-07-20
"176","Reunion & other accommodations","449",2017-07-20
"177","Paraguay & other accommodations","262",2017-07-20
"178","Netherlands Antilles (N. Antilles) hotels & other accommodations","2",2017-07-20
"179","Mali & other accommodations","42",2017-07-20
"180","Malawi & other accommodations","146",2017-07-20
"181","Lithuania & other accommodations","3506",2017-07-20
"182","Lesotho & other accommodations","38",2017-07-20
"183","Hong Kong & other accommodations","740",2017-07-20
"184","Gibraltar & other accommodations","19",2017-07-20
"185","French Guiana & other accommodations","37",2017-07-20
"186","East Timor & other accommodations","37",2017-07-20
"187","Ivory Coast & other accommodations","379",2017-07-20
"188","Benin & other accommodations","141",2017-07-20
